                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0384,                 1.0389,                  1.188,                0.81609,                0.66704,                0.76514,                 0.5939,                0.92881,                0.77695,                 1.0314,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.0091,                 1.0181,                 1.1839,                0.77787,                0.70521,                0.78047,                0.60784,                0.91703,                0.74773,                 1.0229,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.0532,                0.99971,                  1.157,                0.76273,                0.73594,                0.79378,                0.61504,                0.90743,                0.72776,                 1.0154,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.0203,                0.92626,                 1.1456,                0.77552,                0.73651,                0.80757,                0.62232,                 0.8944,                 0.7111,                 1.0066,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.0002,                0.90294,                 1.1453,                0.85238,                0.70745,                0.81616,                0.63767,                0.87795,                0.70283,                0.99853,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.0017,                0.85685,                 1.1317,                0.85582,                0.73333,                0.82403,                0.64542,                0.86682,                 0.6874,                 0.9924,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                0.93845,                0.81093,                 1.0912,                0.86305,                0.72601,                0.83006,                0.65448,                0.85607,                0.66934,                0.98675,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 0.9585,                 0.8253,                 1.1055,                0.79481,                0.79138,                0.83838,                0.66366,                0.83787,                0.65077,                0.97778,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                0.95063,                0.80243,                 1.0994,                0.83007,                0.78091,                0.84651,                0.67259,                0.82411,                0.62888,                0.96914,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                0.93574,                0.75939,                 1.0871,                0.82929,                0.78016,                0.84781,                0.67938,                0.81421,                 0.6117,                0.96382,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                0.92085,                0.74675,                  1.076,                0.86961,                0.77531,                0.85693,                0.69378,                0.80688,                0.58459,                0.95916,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                0.88686,                0.70881,                  1.059,                0.88554,                0.78083,                0.86386,                0.70395,                0.79792,                0.56631,                0.95449,             0.00010074,             0.00010074,             0.00010074
                     13,                0.87351,                0.70467,                 1.0549,                0.89191,                0.78812,                0.86638,                0.70915,                0.78891,                 0.5498,                0.94822,             0.00010486,             0.00010486,             0.00010486
                     14,                0.85095,                0.70855,                 1.0606,                0.89727,                0.78873,                0.87212,                0.71433,                0.77601,                0.53754,                0.94027,             0.00010368,             0.00010368,             0.00010368
                     15,                 0.8612,                 0.7062,                 1.0451,                0.91632,                0.78369,                0.87507,                0.72051,                 0.7693,                0.52971,                0.93639,             0.00010251,             0.00010251,             0.00010251
                     16,                0.87404,                0.70813,                 1.0545,                0.92135,                 0.7803,                0.87703,                0.72259,                0.75884,                0.52381,                0.93157,             0.00010133,             0.00010133,             0.00010133
                     17,                0.81336,                0.62193,                 1.0275,                0.93171,                0.77675,                0.87806,                0.72486,                 0.7504,                0.51413,                0.92958,             0.00010015,             0.00010015,             0.00010015
                     18,                0.81951,                0.63913,                 1.0315,                0.90206,                0.79544,                0.87981,                0.72922,                 0.7408,                0.50405,                0.92582,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                0.78585,                0.63771,                 1.0085,                0.90653,                0.80675,                0.88367,                0.73196,                0.73693,                0.49903,                0.92308,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                0.81482,                0.64652,                 1.0298,                0.91012,                0.80897,                0.88539,                0.73106,                0.73254,                0.49734,                0.92109,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                0.79769,                0.62548,                 1.0249,                0.91665,                0.81834,                0.88411,                0.73855,                0.72567,                0.50053,                0.91715,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                0.82232,                0.62924,                 1.0144,                0.90405,                0.83262,                0.89576,                0.74087,                0.72189,                0.49718,                0.91552,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                 0.8197,                 0.6274,                 1.0132,                0.89872,                0.83912,                0.89627,                0.74518,                 0.7174,                0.48902,                0.91476,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                 0.8081,                 0.6285,                 1.0209,                0.88852,                0.83004,                 0.8993,                0.74672,                0.71193,                0.48496,                0.91318,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                 0.8193,                0.63271,                 1.0096,                0.89233,                0.83284,                0.90468,                0.75368,                0.70787,                0.48114,                0.91228,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                0.77953,                0.58898,                 1.0016,                0.88955,                 0.8521,                0.90543,                 0.7587,                0.70372,                0.47735,                0.91113,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                0.81054,                0.62809,                 1.0341,                0.89363,                 0.8614,                0.90831,                0.75825,                0.70128,                0.47669,                0.91065,             8.8369e-05,             8.8369e-05,             8.8369e-05
